stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
inhabitants	1.n. 居民（inhabitant的复数） 
emergence	1.n. 出现，浮现；发生；露头 
urging	1.v. 说服，催促；激励，驱策；清除（urge的ing形式） 
patrol	1.n. 巡逻；巡逻队；侦察队 2.vt. 巡逻；巡查 3.vi. 巡逻；巡查 
Netflix	1.n. 网飞公司 
Alexis	1.n. 亚历克西斯（男子名） 
fast-growing	1.adj. 快速发展的
pledges	1.n. 保证，誓言；抵押；抵押品，典当物 2.vt. 保证，许诺；用……抵押；举杯祝……健康 3.n. (Pledge)人名；(英)普莱奇 
priests	1.n. 祭司；牧师；神父；教士（priest的复数） 
Aires	1.n. 白羊座 
Abbas	1.n. 阿巴斯（地名，伊朗最大港口）；阿巴斯王朝 
Kennedy	1.n. 肯尼迪（姓氏，美国第35任总统） 
diesel	1.n. 柴油机；柴油；（俚）健康的身体 2.adj. 内燃机传动的；供内燃机用的 3.n. (Diesel)人名；(德)狄塞耳 4.n. 迪赛（意大利时装品牌） 
partial	1.adj. 局部的；偏爱的；不公平的 
Miller	1.n. 磨坊主；碾磨工；蛾 2.n. (Miller)人名；(西、葡)米列尔；(英、德、法、爱沙、芬、罗、瑞典、波)米勒 
disproportionately	1.adv. 不成比例地 
Jacob	1.n. 雅各（以色列人的祖先）；雅各布（男子名） 
specifically	1.adv. 特别地；明确地 
nationally	1.adv. 全国性地；以国民立场地；举国一致地 
restricted	1.v. 限制（restrict的过去式和过去分词） 2.adj. 受限制的；保密的 
recommended	1.v. 推荐，介绍；建议（recommend的过去分词） 2.adj. 被推荐的 
awful	1.adj. 可怕的；极坏的；使人敬畏的 
shelves	1.n. 架子（shelf 的复数） 2.v. 装架（shelve的第三人称单数形式） 
disgruntled	1.adj. 不满的；不高兴的 
representation	1.n. 代表；表现；表示法；陈述 
precious	1.adj. 宝贵的；珍贵的；矫揉造作的 2.n. (Precious)人名；(英)普雷舍斯，普雷舍丝(女名) 
questioned	1.v. 怀疑；询问（question的过去分词） 2.adj. 怀疑的；有问题的；有争议的 
plunge	1.n. 投入；跳进 2.vt. 使陷入；使投入；使插入 3.vi. 突然地下降；投入；陷入；跳进 
stimulate	1.vi. 起刺激作用；起促进作用 2.vt. 刺激；鼓舞，激励 
cooling	1.n. 冷却 2.adj. 冷却的 3.n. (Cooling)人名；(英)库林 
wartime	1.n. 战时 
geopolitical	1.adj. 地理政治学的 
annually	1.adv. 每年；一年一次 
origins	1.n. 起源（origin的复数） 
brink	1.n. （峭壁的）边缘 2.n. (Brink)人名；(德、英、荷、丹、瑞典)布林克 
displaced	1.n. 无家可归者 2.v. 取代（displace的过去分词）；移动…的位置；撤换 3.adj. 无家可归的；位移的；被取代的 
Sochi	1.n. 索契（苏联城市） 
proxy	1.n. 代理人；委托书；代用品 
spite	1.n. 不顾；恶意；怨恨 2.vt. 刁难；使恼怒 
Mandela	1.曼德拉（人名） 
fires	1.n. [安全] 火灾，点火；[军] 火力 
prestigious	1.adj. 有名望的；享有声望的 
Sinn	1.辛恩（手表品牌） 
deliberately	1.adv. 故意地；谨慎地；慎重地 
resident	1.n. 居民 2.adj. 居住的；住院医师；定居的 
large-scale	1.adj. 大规模的，大范围的；大比例尺的 
objections	1.n. 反对，异议（objection的复数形式）；反对意见 
explosion	1.n. 爆炸；爆发；激增 
founders	1.n. 创办人；造物者（founder的复数） 
essentially	1.adv. 本质上；本来 
silicon	1.n. [化学] 硅；硅元素 
molecules	1.n. [化学] 分子，微粒；[化学] 摩尔（molecule的复数） 
diabetes	1.n. 糖尿病；多尿症 
lacking	1.v. 缺少；不足（lack的ing形式） 2.adj. 缺乏的；没有的；不足的 
defended	1.[法] 辩护 
revive	1.vt. 使复兴；使苏醒；回想起；重演，重播 2.vi. 复兴；复活；苏醒；恢复精神 
Jakarta	1.n. 雅加达（印尼首都，等于Djakarta） 
cigarettes	1.n. 香烟，[轻] 卷烟（cigarette的复数） 
stepping	1.n. 步进；改变；分级；通过透镜天线后波前的取平 2.v. 踏；以步测量（step的ing形式） 
solidarity	1.n. 团结，团结一致 
breakthrough	1.n. 突破；突破性进展 
Eventually	1.adv. 最后，终于 
applying	1.vt. apply的变形 
biology	1.n. （一个地区全部的）生物；生物学 
beliefs	1.n. 信仰；信念（belief的复数） 
grasp	1.n. 抓住；理解；控制 2.vi. 抓 3.vt. 抓住；领会 
myth	1.n. 神话；虚构的人，虚构的事 
crossed	1.v. 交叉；越过（cross的过去式和过去分词） 2.adj. 交叉的；划掉的；十字形的 
armoured	1.adj. 装甲的；铠装的；蛇皮管的 
beating	1.n. 打；[纸] 打浆；敲打；失败 2.v. 打（beat的ing形式） 
persuading	1.v. 劝说（persuade的ing形式） 
pipelines	1.n. [建] 管道（pipeline的复数）；管线；管道运输业 2.v. 用管道输送；应用流水线技术设计（pipeline的三单形式） 
discussed	1.v. 讨论（discuss的过去分词）；商讨 
Asians	1.n. 亚洲人（Asian的复数） 
fleet	1.n. 舰队；港湾；小河 2.adj. 快速的，敏捷的 3.vt. 消磨 4.vi. 飞逝；疾驰；掠过 5.n. (Fleet)人名；(英)弗利特 
discussing	1.论述 
successive	1.adj. 连续的；继承的；依次的；接替的 
objective	1.n. 目的；目标；[光] 物镜；宾格 2.adj. 客观的；目标的；宾格的 
organisers	
studio	1.n. 工作室；[广播][电视] 演播室；画室；电影制片厂 
Shabab	1.n. 青年党 
doctrine	1.n. 主义；学说；教义；信条 
depression	1.n. 沮丧；洼地；不景气；忧愁 
Berkshire	1.n. 伯克郡（英国南部一郡）；黑白色的猪 
Carter	1.n. 运货马车夫，驾驶货车的人 
Shinawatra	
